Ticker,Company,Sector,MarketCapCategory,Group
GLAND.NS,Gland Pharma,Healthcare,MidCap,DiversifiedMidcap
GMRAIRPORT.NS,GMR Airports,Infrastructure,MidCap,DiversifiedMidcap
GODREJPROP.NS,Godrej Properties,Real Estate,MidCap,DiversifiedMidcap
PETRONET.NS,Petronet LNG,Energy,MidCap,DiversifiedMidcap
HDFCAMC.NS,HDFC Asset Management Company,Financial Services,MidCap,DiversifiedMidcap
HINDPETRO.NS,Hindustan Petroleum Corporation,Energy,MidCap,DiversifiedMidcap
HONAUT.NS,Honeywell Automation India,Capital Goods,MidCap,DiversifiedMidcap
IDFCFIRSTB.NS,IDFC First Bank,Financial Services,MidCap,DiversifiedMidcap
IGL.NS,Indraprastha Gas,Energy,MidCap,DiversifiedMidcap
INDUSTOWER.NS,Indus Towers,Telecom,MidCap,DiversifiedMidcap
IPCALAB.NS,IPCA Laboratories,Healthcare,MidCap,DiversifiedMidcap
JSL.NS,Jindal Stainless,Metals,MidCap,DiversifiedMidcap
JUBLFOOD.NS,Jubilant FoodWorks,Consumer Services,MidCap,DiversifiedMidcap
LALPATHLAB.NS,Dr. Lal PathLabs,Healthcare,MidCap,DiversifiedMidcap
LAURUSLABS.NS,Laurus Labs,Healthcare,MidCap,DiversifiedMidcap
LICHSGFIN.NS,LIC Housing Finance,Financial Services,MidCap,DiversifiedMidcap
LTTS.NS,L&T Technology Services,Information Technology,MidCap,DiversifiedMidcap
LUPIN.NS,Lupin,Healthcare,MidCap,DiversifiedMidcap
M&MFIN.NS,Mahindra & Mahindra Financial Services,Financial Services,MidCap,DiversifiedMidcap
MANAPPURAM.NS,Manappuram Finance,Financial Services,MidCap,DiversifiedMidcap
MARICO.NS,Marico,Consumer Goods,MidCap,DiversifiedMidcap
MFSL.NS,Max Financial Services,Financial Services,MidCap,DiversifiedMidcap
MPHASIS.NS,Mphasis,Information Technology,MidCap,DiversifiedMidcap
MRF.NS,MRF,Automobile,MidCap,DiversifiedMidcap
NMDC.NS,NMDC,Metals,MidCap,DiversifiedMidcap
OBEROIRLTY.NS,Oberoi Realty,Real Estate,MidCap,DiversifiedMidcap
ACMESOLAR.NS,ACME Solar Holdings Ltd.,Power,SmallCap,NiftySmallcap250
